28.01.2020	13:20
Voltage (V),Current (mA)
0,002	0,005
0,250	1,170
0,494	2,208
0,745	3,151
0,997	3,965
1,249	4,639
1,482	5,134
1,730	5,526
1,986	5,798
2,236	5,960
2,493	6,060
2,746	6,119
2,995	6,160
3,244	6,191
3,501	6,216
3,742	6,235
3,998	6,253
4,248	6,267
4,497	6,280
4,746	6,292
5,002	6,304
5,253	6,313
5,503	6,322
5,751	6,331
5,998	6,338
6,244	6,345
6,491	6,352
6,752	6,359
6,999	6,365
7,248	6,372
7,509	6,377
7,762	6,382
8,002	6,388
8,251	6,393
8,499	6,397
8,746	6,400
9,004	6,405
9,253	6,409
9,500	6,413
9,679	6,416
9,680	6,415
