28.01.2020	13:47
Voltage (V),Current (mA)
-10,003	-0,055
-9,757	-0,055
-9,500	-0,053
-9,252	-0,053
-9,003	-0,051
-8,755	-0,051
-8,508	-0,050
-8,262	-0,049
-8,016	-0,048
-7,758	-0,047
-7,513	-0,046
-7,265	-0,045
-7,015	-0,044
-6,764	-0,043
-6,516	-0,042
-6,266	-0,041
-6,017	-0,041
-5,759	-0,040
-5,510	-0,040
-5,264	-0,039
-5,012	-0,038
-4,757	-0,037
-4,505	-0,037
-4,256	-0,036
-4,004	-0,035
-3,752	-0,034
-3,497	-0,033
-3,250	-0,032
-2,999	-0,032
-2,747	-0,031
-2,496	-0,030
-2,249	-0,029
-1,996	-0,028
-1,745	-0,028
-1,493	-0,027
-1,248	-0,026
-0,998	-0,026
-0,747	-0,025
-0,495	-0,023
-0,247	-0,021
0,003	-0,004
