28.01.2020	13:48
Voltage (V),Current (mA)
-9,917	-1,726
-9,672	-1,710
-9,415	-1,694
-9,169	-1,679
-8,921	-1,664
-8,673	-1,648
-8,427	-1,632
-8,182	-1,617
-7,936	-1,601
-7,679	-1,587
-7,434	-1,572
-7,187	-1,556
-6,938	-1,541
-6,688	-1,525
-6,440	-1,508
-6,192	-1,492
-5,944	-1,475
-5,686	-1,458
-5,438	-1,442
-5,192	-1,425
-4,942	-1,407
-4,688	-1,389
-4,436	-1,371
-4,189	-1,352
-3,937	-1,333
-3,687	-1,314
-3,433	-1,293
-3,187	-1,272
-3,000	-1,257
-2,750	-1,234
-2,499	-1,209
-2,248	-1,183
-1,997	-1,154
-1,747	-1,120
-1,504	-1,075
-1,245	-1,005
-1,000	-0,902
-0,750	-0,752
-0,503	-0,557
-0,250	-0,304
0,003	-0,001
