04.02.2020	14:44
Voltage (V),Current (mA)
0,003	-0,005
0,014	-0,004
0,020	-0,004
0,032	-0,004
0,044	-0,005
0,050	-0,004
0,061	-0,004
0,073	-0,004
0,079	-0,005
0,091	-0,004
0,103	-0,004
0,109	-0,005
0,120	-0,005
0,132	-0,005
0,138	-0,005
0,150	-0,004
0,162	-0,005
0,168	-0,004
0,180	-0,004
0,192	-0,005
0,198	-0,005
0,210	-0,005
0,221	-0,005
0,227	-0,005
0,239	-0,005
0,251	-0,005
0,257	-0,005
0,269	-0,005
0,281	-0,004
0,293	-0,005
0,298	-0,005
0,310	-0,005
0,322	-0,004
0,328	-0,005
0,340	-0,005
0,352	-0,005
0,364	-0,005
0,370	-0,005
0,382	-0,005
0,394	-0,004
0,400	-0,005
0,412	-0,005
0,424	-0,004
0,436	-0,005
0,442	-0,005
0,454	-0,005
0,466	-0,004
0,472	-0,003
0,484	-0,004
0,495	-0,004
0,501	-0,003
0,513	-0,002
0,525	-0,001
0,537	0,001
0,543	0,003
0,555	0,007
0,566	0,013
0,572	0,018
0,583	0,029
0,594	0,046
0,604	0,069
0,610	0,085
0,620	0,121
0,629	0,169
0,633	0,195
0,642	0,259
0,650	0,331
0,657	0,410
0,674	0,652
0,680	0,760
0,686	0,877
0,702	1,256
0,709	1,455
0,716	1,664
0,728	2,108
0,736	2,414
0,748	2,979
0,757	3,403
0,767	4,008
0,776	4,534
0,786	5,248
0,797	6,066
0,805	6,703
0,815	7,643
0,826	8,684
0,834	9,463
0,844	10,627
0,854	11,798
0,864	13,081
0,874	14,494
0,884	15,928
0,894	17,426
0,904	19,059
0,912	20,385
0,922	22,126
0,931	23,889
0,941	25,772
0,951	27,732
0,961	29,846
0,971	31,926
0,980	34,016
0,991	36,318
1,001	38,634
04.02.2020	15:44
Voltage (V),Current (mA)
