04.02.2020	14:57
Voltage (V),Current (mA)
-5,946	-9,005
-5,937	-8,967
-5,927	-8,935
-5,918	-8,905
-5,908	-8,874
-5,899	-8,843
-5,889	-8,812
-5,879	-8,782
-5,869	-8,752
-5,859	-8,722
-5,849	-8,691
-5,839	-8,661
-5,830	-8,631
-5,820	-8,603
-5,810	-8,572
-5,800	-8,541
-5,790	-8,513
-5,780	-8,483
-5,770	-8,453
-5,761	-8,424
-5,751	-8,396
-5,742	-8,365
-5,732	-8,336
-5,722	-8,307
-5,712	-8,277
-5,702	-8,249
-5,693	-8,219
-5,682	-8,190
-5,673	-8,159
-5,663	-8,132
-5,653	-8,102
-5,643	-8,072
-5,633	-8,043
-5,623	-8,013
-5,614	-7,985
-5,605	-7,959
-5,595	-7,930
-5,585	-7,901
-5,575	-7,872
-5,566	-7,842
-5,556	-7,814
-5,546	-7,785
-5,536	-7,755
-5,526	-7,727
-5,517	-7,697
-5,507	-7,668
-5,497	-7,639
-5,487	-7,611
-5,477	-7,582
-5,467	-7,554
-5,458	-7,524
-5,448	-7,498
-5,439	-7,470
-5,429	-7,441
-5,419	-7,411
-5,409	-7,383
-5,399	-7,353
-5,389	-7,326
-5,379	-7,298
-5,369	-7,269
-5,359	-7,241
-5,350	-7,211
-5,340	-7,184
-5,330	-7,155
-5,320	-7,126
-5,310	-7,097
-5,300	-7,069
-5,291	-7,043
-5,281	-7,015
-5,271	-6,986
-5,261	-6,959
-5,252	-6,931
-5,242	-6,903
-5,231	-6,873
-5,222	-6,846
-5,212	-6,817
-5,202	-6,789
-5,192	-6,760
-5,182	-6,732
-5,172	-6,705
-5,162	-6,677
-5,152	-6,649
-5,142	-6,620
-5,133	-6,595
-5,124	-6,568
-5,114	-6,540
-5,114	-6,540
-5,094	-6,483
-5,084	-6,456
-5,074	-6,429
-5,064	-6,400
-5,054	-6,374
-5,044	-6,346
-5,034	-6,319
-5,034	-6,319
-5,025	-6,291
-5,005	-6,237
-4,995	-6,209
-4,985	-6,181
-4,976	-6,156
-4,966	-6,129
-4,966	-6,128
-4,956	-6,101
-4,936	-6,047
-4,936	-6,047
-4,926	-6,019
-4,916	-5,991
-4,906	-5,964
-4,896	-5,936
-4,886	-5,909
-4,876	-5,881
-4,866	-5,854
-4,856	-5,827
-4,846	-5,800
-4,836	-5,772
-4,826	-5,745
-4,816	-5,721
-4,806	-5,692
-4,796	-5,665
-4,786	-5,638
-4,776	-5,609
-4,766	-5,583
-4,756	-5,556
-4,745	-5,529
-4,735	-5,502
-4,725	-5,474
-4,714	-5,446
-4,704	-5,420
-4,694	-5,392
-4,683	-5,364
-4,678	-5,350
-4,662	-5,309
-4,657	-5,295
-4,646	-5,266
-4,631	-5,225
-4,626	-5,211
-4,615	-5,184
-4,610	-5,170
-4,594	-5,129
-4,583	-5,101
-4,578	-5,087
-4,563	-5,045
-4,557	-5,032
-4,547	-5,005
-4,531	-4,965
-4,526	-4,951
-4,516	-4,925
-4,505	-4,898
-4,495	-4,871
-4,484	-4,844
-4,479	-4,831
-4,463	-4,790
-4,459	-4,778
-4,448	-4,752
-4,438	-4,725
-4,428	-4,699
-4,417	-4,671
-4,407	-4,645
-4,396	-4,619
-4,386	-4,593
-4,380	-4,579
-4,370	-4,553
-4,360	-4,527
-4,349	-4,500
-4,339	-4,474
-4,329	-4,449
-4,318	-4,424
-4,313	-4,409
-4,302	-4,384
-4,287	-4,345
-4,282	-4,331
-4,271	-4,306
-4,261	-4,280
-4,250	-4,253
-4,245	-4,240
-4,229	-4,202
-4,219	-4,176
-4,213	-4,162
-4,203	-4,139
-4,192	-4,113
-4,182	-4,087
-4,171	-4,063
-4,161	-4,036
-4,150	-4,010
-4,145	-3,997
-4,134	-3,973
-4,119	-3,935
-4,114	-3,921
-4,103	-3,896
-4,092	-3,871
-4,082	-3,844
-4,071	-3,821
-4,066	-3,808
-4,050	-3,771
-4,045	-3,757
-4,035	-3,735
-4,024	-3,708
-4,014	-3,683
-4,003	-3,659
-3,998	-3,646
-3,982	-3,610
-3,971	-3,585
-3,966	-3,572
-3,950	-3,535
-3,945	-3,523
-3,935	-3,501
-3,919	-3,464
-3,913	-3,451
-3,903	-3,427
-3,897	-3,414
-3,881	-3,378
-3,876	-3,365
-3,866	-3,343
-3,850	-3,307
-3,845	-3,296
-3,835	-3,273
-3,830	-3,261
-3,814	-3,226
-3,804	-3,201
-3,798	-3,190
-3,783	-3,156
-3,778	-3,144
-3,767	-3,120
-3,756	-3,098
-3,746	-3,074
-3,735	-3,050
-3,730	-3,038
-3,714	-3,003
-3,708	-2,991
-3,698	-2,969
-3,688	-2,946
-3,677	-2,922
-3,667	-2,900
-3,662	-2,888
-3,646	-2,857
-3,641	-2,844
-3,630	-2,822
-3,619	-2,800
-3,609	-2,777
-3,598	-2,754
-3,593	-2,742
-3,577	-2,708
-3,571	-2,697
-3,561	-2,675
-3,550	-2,652
-3,539	-2,629
-3,529	-2,607
-3,523	-2,596
-3,507	-2,561
-3,502	-2,551
-3,491	-2,528
-3,480	-2,506
-3,469	-2,483
-3,458	-2,461
-3,453	-2,450
-3,437	-2,419
-3,432	-2,407
-3,421	-2,386
-3,410	-2,365
-3,400	-2,343
-3,394	-2,332
-3,378	-2,300
-3,368	-2,278
-3,363	-2,269
-3,352	-2,248
-3,342	-2,227
-3,331	-2,207
-3,325	-2,196
-3,309	-2,165
-3,298	-2,144
