04.02.2020	14:34
Voltage (V),Current (mA)
0,002	-0,005
0,014	-0,004
0,026	-0,004
0,032	-0,004
0,044	-0,005
0,049	-0,004
0,061	-0,004
0,073	-0,004
0,079	-0,005
0,091	-0,004
0,103	-0,004
0,108	-0,005
0,120	-0,005
0,132	-0,004
0,138	-0,004
0,150	-0,005
0,162	-0,004
0,168	-0,005
0,180	-0,005
0,192	-0,004
0,198	-0,005
0,209	-0,005
0,221	-0,004
0,227	-0,005
0,239	-0,005
0,251	-0,004
0,257	-0,005
0,269	-0,004
0,281	-0,004
0,293	-0,005
0,298	-0,005
0,310	-0,004
0,322	-0,004
0,328	-0,005
0,340	-0,004
0,352	-0,004
0,364	-0,004
0,370	-0,004
0,382	-0,004
0,394	-0,005
0,400	-0,004
0,412	-0,005
0,424	-0,004
0,436	-0,005
0,442	-0,004
0,454	-0,004
0,466	-0,003
0,472	-0,003
0,484	-0,002
0,495	-0,000
0,501	0,001
0,513	0,003
0,525	0,007
0,536	0,014
0,542	0,018
0,553	0,030
0,564	0,045
0,570	0,055
0,580	0,079
0,590	0,109
0,600	0,148
0,605	0,171
0,614	0,219
0,623	0,278
0,628	0,310
0,648	0,494
0,655	0,575
0,662	0,666
0,672	0,812
0,678	0,915
0,693	1,193
0,702	1,369
0,710	1,556
0,717	1,748
0,731	2,160
0,738	2,375
0,746	2,670
0,760	3,215
0,768	3,541
0,774	3,866
0,787	4,540
0,795	4,975
0,807	5,764
0,814	6,305
0,824	7,119
0,835	8,048
0,843	8,822
0,853	9,882
0,863	11,047
0,873	12,232
0,883	13,641
0,893	15,066
0,902	16,589
0,914	18,535
0,923	20,184
0,932	22,042
0,942	23,918
0,951	26,024
0,961	28,128
0,972	30,675
0,981	32,988
0,991	35,302
1,000	37,740
04.02.2020	15:32
Voltage (V),Current (mA)
-9,140	-16,882
-9,144	-16,825
-9,146	-16,796
-9,146	-16,780
-9,147	-16,767
-9,148	-16,758
-9,148	-16,750
-9,148	-16,744
-9,092	-16,549
-8,996	-16,226
-8,900	-15,909
-8,805	-15,594
-8,709	-15,278
-8,603	-14,933
-8,507	-14,621
-8,409	-14,309
-8,312	-14,000
-8,215	-13,690
-8,118	-13,387
-8,021	-13,083
-7,913	-12,748
-7,817	-12,451
-7,720	-12,154
-7,624	-11,865
-7,528	-11,575
-7,430	-11,280
-7,332	-10,991
-7,235	-10,706
-7,138	-10,422
-7,041	-10,141
-6,944	-9,862
-6,854	-9,607
-6,756	-9,328
-6,648	-9,025
-6,547	-8,747
-6,457	-8,499
-6,357	-8,228
-6,258	-7,962
-6,168	-7,722
-6,068	-7,459
-5,959	-7,173
-5,858	-6,914
-5,768	-6,687
-5,669	-6,437
-5,568	-6,189
-5,479	-5,970
-5,378	-5,725
-5,267	-5,463
-5,177	-5,252
-5,076	-5,018
-4,985	-4,812
-4,882	-4,583
-4,780	-4,357
-4,683	-4,150
-4,587	-3,945
-4,486	-3,736
-4,385	-3,529
-4,289	-3,338
-4,186	-3,140
-4,089	-2,954
-3,987	-2,765
-3,891	-2,589
-3,789	-2,410
-3,692	-2,243
-3,595	-2,081
-3,496	-1,921
-3,398	-1,768
-3,294	-1,611
-3,195	-1,468
-3,096	-1,330
-2,944	-1,128
-2,850	-1,010
-2,756	-0,899
-2,662	-0,793
-2,562	-0,686
-2,468	-0,591
-2,372	-0,501
-2,276	-0,418
-2,180	-0,342
-2,083	-0,273
-1,987	-0,212
-1,891	-0,158
-1,793	-0,111
-1,697	-0,074
-1,599	-0,042
-1,494	-0,021
-1,396	-0,010
-1,297	-0,005
-1,198	-0,004
-1,099	-0,004
-1,000	-0,005
-0,900	-0,005
-0,801	-0,004
-0,702	-0,005
-0,603	-0,005
-0,497	-0,004
-0,396	-0,005
-0,295	-0,004
-0,201	-0,004
-0,102	-0,005
-0,002	-0,004
