04.02.2020	15:10
Voltage (V),Current (mA)
-5,963	-7,320
-5,954	-7,283
-5,944	-7,251
-5,934	-7,221
-5,924	-7,192
-5,915	-7,164
-5,905	-7,135
-5,895	-7,108
-5,885	-7,081
-5,874	-7,053
-5,864	-7,026
-5,855	-6,999
-5,845	-6,972
-5,835	-6,947
-5,825	-6,920
-5,815	-6,894
-5,806	-6,868
-5,795	-6,840
-5,785	-6,814
-5,775	-6,788
-5,765	-6,762
-5,755	-6,735
-5,746	-6,711
-5,735	-6,684
-5,726	-6,659
-5,716	-6,633
-5,706	-6,607
-5,696	-6,581
-5,685	-6,555
-5,676	-6,531
-5,666	-6,505
-5,657	-6,480
-5,647	-6,455
-5,636	-6,430
-5,636	-6,429
-5,616	-6,379
-5,606	-6,353
-5,597	-6,329
-5,586	-6,303
-5,576	-6,277
-5,566	-6,252
-5,556	-6,227
-5,556	-6,226
-5,546	-6,201
-5,526	-6,151
-5,517	-6,128
-5,507	-6,103
-5,497	-6,077
-5,486	-6,054
-5,487	-6,053
-5,477	-6,029
-5,466	-6,003
-5,457	-5,978
-5,436	-5,928
-5,426	-5,904
-5,416	-5,879
-5,406	-5,855
-5,406	-5,855
-5,396	-5,830
-5,386	-5,805
-5,376	-5,780
-5,357	-5,734
-5,347	-5,709
-5,337	-5,685
-5,336	-5,685
-5,326	-5,661
-5,316	-5,636
-5,306	-5,611
-5,296	-5,587
-5,286	-5,563
-5,266	-5,515
-5,266	-5,514
-5,256	-5,490
-5,245	-5,466
-5,235	-5,441
-5,225	-5,418
-5,215	-5,394
-5,205	-5,370
-5,196	-5,348
-5,186	-5,325
-5,176	-5,301
-5,166	-5,277
-5,155	-5,254
-5,145	-5,230
-5,135	-5,207
-5,125	-5,183
-5,125	-5,183
-5,105	-5,135
-5,095	-5,112
-5,085	-5,089
-5,075	-5,066
-5,065	-5,042
-5,055	-5,019
-5,055	-5,019
-5,045	-4,996
-5,035	-4,974
-5,015	-4,926
-5,004	-4,903
-4,994	-4,880
-4,984	-4,856
-4,984	-4,856
-4,974	-4,832
-4,963	-4,809
-4,953	-4,787
-4,943	-4,765
-4,933	-4,740
