28.01.2020	13:21
Voltage (V),Current (mA)
0,003	-0,003
0,250	0,014
0,500	0,015
0,754	0,015
1,007	0,015
1,258	0,015
1,503	0,016
1,756	0,015
2,007	0,016
2,259	0,016
2,506	0,016
2,756	0,016
3,007	0,016
3,257	0,016
3,502	0,016
3,755	0,016
4,003	0,016
4,253	0,016
4,498	0,016
4,747	0,016
4,999	0,017
5,246	0,016
5,494	0,016
5,747	0,016
6,006	0,017
6,253	0,017
6,501	0,017
6,747	0,017
6,997	0,017
7,247	0,017
7,494	0,018
7,743	0,017
8,007	0,018
8,259	0,017
8,510	0,017
8,757	0,017
9,006	0,018
9,253	0,017
9,500	0,017
9,761	0,018
10,007	0,018
