28.01.2020	13:19
Voltage (V),Current (mA)
0,002	0,003
0,248	0,628
0,499	1,081
0,749	1,347
0,997	1,463
1,247	1,506
1,503	1,526
1,748	1,538
1,998	1,548
2,250	1,555
2,502	1,561
2,752	1,567
2,997	1,572
3,247	1,577
3,503	1,581
3,750	1,584
3,923	1,587
4,172	1,591
4,418	1,594
4,667	1,597
4,918	1,600
5,164	1,603
5,413	1,606
5,665	1,608
5,924	1,611
6,172	1,614
6,419	1,616
6,665	1,619
6,915	1,621
7,165	1,623
7,411	1,625
7,661	1,628
7,924	1,630
8,177	1,633
8,427	1,635
8,674	1,637
8,923	1,640
9,170	1,642
9,417	1,644
9,678	1,647
9,924	1,648
