waveform	Ch0		Gen	
t0	04.02.2020  15:03:26,447537		04.02.2020  15:03:26,447541	
delta t	8,000000E-6		8,000000E-6	

time[0]	Ch0	time[1]	Gen
04.02.2020  15:03:26,447537	1,952892E+0	04.02.2020  15:03:26,447541	4,652971E+0
04.02.2020  15:03:26,447545	1,965791E+0	04.02.2020  15:03:26,447549	4,627819E+0
04.02.2020  15:03:26,447553	1,979656E+0	04.02.2020  15:03:26,447557	4,609439E+0
04.02.2020  15:03:26,447561	2,001261E+0	04.02.2020  15:03:26,447565	4,588802E+0
04.02.2020  15:03:26,447569	2,016416E+0	04.02.2020  15:03:26,447573	4,561071E+0
04.02.2020  15:03:26,447577	2,029959E+0	04.02.2020  15:03:26,447581	4,529470E+0
04.02.2020  15:03:26,447585	2,044792E+0	04.02.2020  15:03:26,447589	4,503028E+0
04.02.2020  15:03:26,447593	2,065429E+0	04.02.2020  15:03:26,447597	4,478522E+0
04.02.2020  15:03:26,447601	2,078327E+0	04.02.2020  15:03:26,447605	4,439827E+0
04.02.2020  15:03:26,447609	2,094450E+0	04.02.2020  15:03:26,447613	4,406291E+0
04.02.2020  15:03:26,447617	2,112507E+0	04.02.2020  15:03:26,447621	4,364372E+0
04.02.2020  15:03:26,447625	2,127662E+0	04.02.2020  15:03:26,447629	4,326645E+0
04.02.2020  15:03:26,447633	2,142495E+0	04.02.2020  15:03:26,447637	4,264410E+0
04.02.2020  15:03:26,447641	2,158618E+0	04.02.2020  15:03:26,447645	4,212172E+0
04.02.2020  15:03:26,447649	2,177643E+0	04.02.2020  15:03:26,447653	4,151873E+0
04.02.2020  15:03:26,447657	2,191508E+0	04.02.2020  15:03:26,447661	4,065132E+0
04.02.2020  15:03:26,447665	2,207309E+0	04.02.2020  15:03:26,447669	3,932603E+0
04.02.2020  15:03:26,447673	2,223109E+0	04.02.2020  15:03:26,447677	3,762346E+0
04.02.2020  15:03:26,447681	2,242456E+0	04.02.2020  15:03:26,447685	3,484066E+0
04.02.2020  15:03:26,447689	2,255677E+0	04.02.2020  15:03:26,447693	3,038111E+0
04.02.2020  15:03:26,447697	2,272767E+0	04.02.2020  15:03:26,447701	2,507995E+0
04.02.2020  15:03:26,447705	2,287922E+0	04.02.2020  15:03:26,447709	1,881145E+0
04.02.2020  15:03:26,447713	2,305335E+0	04.02.2020  15:03:26,447717	1,323300E+0
04.02.2020  15:03:26,447721	2,320167E+0	04.02.2020  15:03:26,447725	8,209190E-1
04.02.2020  15:03:26,447729	2,335968E+0	04.02.2020  15:03:26,447733	6,274475E-1
04.02.2020  15:03:26,447737	2,353703E+0	04.02.2020  15:03:26,447741	5,471569E-1
04.02.2020  15:03:26,447745	2,369503E+0	04.02.2020  15:03:26,447749	4,875033E-1
04.02.2020  15:03:26,447753	2,384013E+0	04.02.2020  15:03:26,447757	4,462294E-1
04.02.2020  15:03:26,447761	2,400781E+0	04.02.2020  15:03:26,447765	4,172087E-1
04.02.2020  15:03:26,447769	2,418194E+0	04.02.2020  15:03:26,447773	3,936697E-1
04.02.2020  15:03:26,447777	2,433349E+0	04.02.2020  15:03:26,447781	3,643266E-1
04.02.2020  15:03:26,447785	2,448182E+0	04.02.2020  15:03:26,447789	3,449794E-1
04.02.2020  15:03:26,447793	2,464305E+0	04.02.2020  15:03:26,447797	3,272446E-1
04.02.2020  15:03:26,447801	2,477848E+0	04.02.2020  15:03:26,447805	3,101546E-1
04.02.2020  15:03:26,447809	2,491713E+0	04.02.2020  15:03:26,447813	2,966116E-1
04.02.2020  15:03:26,447817	2,511383E+0	04.02.2020  15:03:26,447821	2,824237E-1
04.02.2020  15:03:26,447825	2,526861E+0	04.02.2020  15:03:26,447829	2,704930E-1
04.02.2020  15:03:26,447833	2,542338E+0	04.02.2020  15:03:26,447837	2,553378E-1
04.02.2020  15:03:26,447841	2,556204E+0	04.02.2020  15:03:26,447845	2,440520E-1
04.02.2020  15:03:26,447849	2,577808E+0	04.02.2020  15:03:26,447853	2,327661E-1
04.02.2020  15:03:26,447857	2,590707E+0	04.02.2020  15:03:26,447861	2,208354E-1
04.02.2020  15:03:26,447865	2,605862E+0	04.02.2020  15:03:26,447869	2,118068E-1
04.02.2020  15:03:26,447873	2,620050E+0	04.02.2020  15:03:26,447877	2,024557E-1
04.02.2020  15:03:26,447881	2,638752E+0	04.02.2020  15:03:26,447885	1,956842E-1
04.02.2020  15:03:26,447889	2,655842E+0	04.02.2020  15:03:26,447893	1,840759E-1
04.02.2020  15:03:26,447897	2,667773E+0	04.02.2020  15:03:26,447901	1,773044E-1
04.02.2020  15:03:26,447905	2,689378E+0	04.02.2020  15:03:26,447909	1,685982E-1
04.02.2020  15:03:26,447913	2,704211E+0	04.02.2020  15:03:26,447917	1,602145E-1
04.02.2020  15:03:26,447921	2,719044E+0	04.02.2020  15:03:26,447925	1,524756E-1
04.02.2020  15:03:26,447929	2,732587E+0	04.02.2020  15:03:26,447933	1,466715E-1
