28.01.2020	13:46
Voltage (V),Current (mA)
-10,006	-0,004
-9,759	-0,003
-9,502	-0,004
-9,255	-0,004
-9,006	-0,004
-8,757	-0,004
-8,510	-0,004
-8,264	-0,003
-8,018	-0,004
-7,760	-0,003
-7,515	-0,003
-7,267	-0,004
-7,017	-0,004
-6,766	-0,004
-6,518	-0,004
-6,268	-0,004
-6,019	-0,004
-5,761	-0,004
-5,512	-0,004
-5,265	-0,005
-5,014	-0,005
-4,759	-0,005
-4,507	-0,004
-4,258	-0,004
-4,005	-0,004
-3,754	-0,004
-3,499	-0,004
-3,252	-0,004
-3,000	-0,004
-2,748	-0,004
-2,497	-0,004
-2,250	-0,004
-1,997	-0,004
-1,746	-0,004
-1,494	-0,004
-1,249	-0,004
-0,999	-0,004
-0,748	-0,004
-0,496	-0,004
-0,248	-0,004
0,003	-0,004
